Time (msec),AFCorrection,AFLearning,AFR,LOAD,RPM,Knock,FineLearnKnock,IAM,IgnitionTotalTiming,IDC,AIT,Boost,NA,MAF,Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Vehicle Speed (mph)
86459,0,-0.78,20.67,0.28,2722,0,0,1,38.5,5.2,118,4.35,-9.43,13.97,1.96,13.73,39
86526,0,-0.78,20.67,0.41,2750,0,0,1,39,7.01,118,5.8,-8.42,22.92,2.32,19.61,39
86592,0,-1.56,20.67,0.69,2740,0,0,1,39,11.57,118,9.29,-5.08,40.84,2.72,30.98,39
86664,0,-1.56,19.41,0.94,2718,0,0,1,33.5,14.03,118,12.77,-1.02,51.12,2.74,55.69,39
86727,0,-1.56,17.69,1.04,2737,0,0,1,28.5,14.03,118,13.49,-0.15,51.12,2.76,68.24,39
86793,0,-1.56,16.19,1.1,2743,0,0,1,26.5,14.63,118,14.07,0.29,52.51,2.8,82.35,39
86860,0,-1.56,14.81,1.15,2752,0,0,1,25.5,16.53,118,14.65,1.02,55.32,2.84,93.33,39
86928,0,-1.56,14.01,1.21,2764,0,0,1,24,17.8,118,15.24,1.6,58.75,2.86,100,39
86994,0,-1.56,13.32,1.28,2769,0,0,1,23,18.45,118,15.96,2.32,61.4,2.9,100,39
87061,0,-1.56,12.75,1.34,2793,0,0,1,21.5,19.12,118,16.69,2.9,65.54,3,100,39
87129,0,-1.56,12.4,1.42,2820,0,0,1,20,20.47,118,17.41,3.63,70,3.04,100,39
87195,0,-1.56,12.52,1.51,2846,0,0,1,18,21.77,118,18.28,4.64,74.71,3.08,100,39
87262,0,-1.56,12.52,1.6,2876,0,0,1,15,23.36,118,19.3,5.51,79.85,3.16,100,39
87330,0,0,12.4,1.69,2876,0,0,1,11,25.32,118,20.17,6.38,85.59,3.2,100,39
87396,0,0,12.06,1.81,2901,0,0,1,10,27.41,118,21.33,7.55,91.98,3.3,100,39
87463,0,0,11.6,1.91,2923,0,0,1,9,30.53,118,22.49,8.71,98.11,3.34,100,40
87530,0,0,11.02,2.02,2966,0,0,1,8.5,34.96,118,23.65,9.87,104.57,3.42,100,40
87598,0,0,11.02,2.16,2966,0,0,1,8,38.09,118,24.96,11.32,112.67,3.48,100,40
87665,0,0,11.02,2.26,2998,0,0,1,7,41.16,120,26.26,12.48,117.92,3.52,100,40
87731,0,0,11.02,2.39,3034,0,0,1,6.5,43.91,120,27.57,13.64,125.34,3.62,100,40
87798,0,0,11.02,2.51,3043,0,0,1,6,47.2,120,28.87,15.09,132.54,3.68,100,40
87865,0,0,11.02,2.59,3106,0,0,1,5.5,48.04,120,29.89,16.25,135.15,3.7,100,40
87932,0,0,11.02,2.63,3096,0,0,1,5.5,49.94,120,30.76,17.12,137.43,3.68,100,41
88000,0,0,11.02,2.62,3166,0,0,1,5.5,49.84,120,30.76,17.12,135.47,3.7,100,41
88072,0,0,11.02,2.59,3155,0,0,1,5.5,48.76,120,30.62,17.12,133.85,3.68,100,41
88134,0,0,11.02,2.55,3224,0,0,1,5.5,49.16,120,30.33,16.83,136.78,3.7,100,41
88201,0,0,11.02,2.55,3254,0,0,1,5.5,48.95,120,30.04,16.4,138.08,3.68,100,41
88269,0,0,11.02,2.53,3252,0,0,1,5.5,48.1,120,29.89,16.4,136.45,3.66,100,41
88334,0,0,11.02,2.53,3332,0,0,1,6,50.03,120,29.75,16.11,139.38,3.76,100,41
88403,0,0,11.02,2.55,3328,0,0,1,6,49.69,120,29.6,16.11,142.44,3.7,100,43
88470,0,0,11.02,2.54,3324,0,0,1,6,50.15,120,29.75,16.11,141.76,3.72,100,43
88536,0,0,11.02,2.55,3432,0,0,1,6,51.33,120,29.75,16.11,146.21,3.74,100,43
88602,0,0,11.02,2.57,3445,0,0,1,6,51.31,122,29.75,16.11,148,3.76,100,43
88669,0,0,11.02,2.58,3439,0,0,1,6,51.42,122,29.89,16.25,151.57,3.78,100,43
88736,0,0,11.02,2.58,3502,0,0,1,6,52.8,122,29.75,16.25,151.93,3.76,100,43
88803,0,0,11.02,2.61,3484,0,0,1,6,53.06,122,29.89,16.25,155.15,3.78,100,43
88870,0,0,11.02,2.61,3554,0,0,1,6,54.42,122,29.89,16.25,156.22,3.76,100,47
88937,0,0,11.02,2.6,3577,0,0,1,6,53.96,122,29.89,16.25,155.86,3.78,100,47
89003,0,0,11.02,2.61,3616,0,0,1,6,54.65,122,29.75,16.25,159.18,3.8,100,47
89071,0,0,11.02,2.62,3622,0,0,1,6,55.01,122,29.89,16.25,161.08,3.8,100,47
89137,0,0,11.02,2.62,3683,0,0,1,6,55.65,122,29.75,16.25,163.49,3.82,100,47
89205,0,0,11.02,2.62,3671,0,0,1,6,56.44,122,30.04,16.25,162.26,3.84,100,47
89273,0,0,11.02,2.6,3749,0,0,1,6,56.98,122,29.89,16.4,161.85,3.84,100,47
89338,0,0,11.02,2.6,3774,0,0,1,6.5,57.21,122,29.89,16.4,164.31,3.84,100,47
89407,0,0,11.02,2.58,3763,0,0,1,6.5,57.26,122,29.89,16.25,162.67,3.84,100,50
89473,0,0,11.02,2.55,3820,0,0,1,6.5,57.31,124,29.75,16.11,163.08,3.82,100,50
89548,0,0,11.02,2.55,3860,0,0,1,6.5,56.74,124,29.6,15.96,163.49,3.84,100,50
89609,0,0,11.02,2.56,3860,0,0,1,6.5,57.86,124,29.75,15.96,165.95,3.86,100,50
89675,0,0,11.02,2.57,3919,0,0,1,6.5,58.39,124,29.75,16.11,170.05,3.88,100,50
89741,0,0,11.02,2.59,3938,0,0,1,6.5,59.7,124,29.75,16.11,170.46,3.88,100,50
89809,0,0,11.02,2.59,3956,0,0,1,6.5,60.01,124,29.89,16.11,172.1,3.9,100,50
89874,0,0,11.02,2.57,3989,0,0,1,7,60.2,124,29.75,16.11,171.69,3.9,100,53
89943,0,0,11.02,2.57,4018,0,0,1,7,59.72,124,29.75,16.11,172.51,3.9,100,53
90010,0,0,11.02,2.54,4031,0,0,1,7,60.05,124,29.6,15.96,169.64,3.9,100,53
90077,0,0,11.02,2.53,4092,0,0,1,7,60.06,124,29.6,15.96,170.87,3.92,100,53
90143,0,0,11.02,2.53,4115,0,0,1,7.5,60.86,124,29.75,15.96,173.33,3.92,100,53
90211,0,0,11.02,2.54,4132,0,0,1,7.5,60.65,124,29.45,15.96,174.97,3.92,100,53
90277,0,0,11.02,2.53,4160,0,0,1,7.5,61.39,124,29.45,15.82,174.15,3.94,100,53
90344,0,0,11.02,2.52,4204,0,0,1,7.5,62.11,124,29.31,15.67,175.79,3.94,100,55
90410,0,0,11.02,2.53,4186,0,0,1,7.5,61.53,124,29.45,15.82,177.03,3.92,100,55
90477,0,0,11.02,2.52,4264,0,0,1,7.5,62.93,124,29.45,15.82,177.44,3.94,100,55
