Time (msec),AFCorrection,AFLearning,AFR,LOAD,RPM,Knock,FineLearnKnock,IAM,IgnitionTotalTiming,IDC,AIT,Boost,Manifold Relative Pressure (Corrected) (psi),MAF,Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Vehicle Speed (mph)
1264701,-2.34,2.34,14.93,0.28,1966,0,0,1,38,3.79,118,4.64,-9.29,9.28,1.68,9.8,11
1264771,-1.56,2.34,14.93,0.28,1938,0,0,1,38,3.73,118,4.5,-9.43,9.05,1.68,9.8,11
1264839,-1.56,2.34,14.81,0.28,1926,0,0,1,38,3.7,118,4.5,-9.43,9.05,1.68,9.8,11
1264907,-1.56,2.34,14.59,0.29,1958,0,0,1,38,3.75,118,4.5,-9.43,8.98,1.7,10.2,11
1264972,-1.56,2.34,14.47,0.29,1979,0,0,1,38,3.77,120,4.64,-9.29,9.87,1.74,10.98,11
1265039,-1.56,2.34,14.47,0.31,1963,0,0,1,38,3.8,120,4.79,-9.14,10.51,1.76,10.98,11
1265106,-0.78,1.56,14.59,0.33,1959,0,0,1,38.5,3.78,120,5.08,-9,11.3,1.78,11.37,11
1265174,0,1.56,14.7,0.34,1957,0,0,1,38.5,4.2,120,5.22,-8.71,11.5,1.78,11.37,11
1265240,0.78,1.56,14.93,0.34,1983,0,0,1,38.5,4.21,120,5.22,-8.71,11.21,1.76,10.98,11
1265307,1.56,1.56,15.04,0.34,1994,0,0,1,38.5,4.24,120,5.22,-8.71,10.59,1.76,10.98,11
1265375,0.78,1.56,14.81,0.33,1986,0,0,1,38.5,4.26,120,5.08,-8.85,10.28,1.72,10.59,11
1265439,-0.78,2.34,14.36,0.32,1984,0,0,1,38.5,3.83,120,5.08,-8.85,9.82,1.74,10.59,11
1265508,-0.78,2.34,14.13,0.31,2000,0,0,1,38.5,3.82,120,4.93,-9,10.01,1.74,10.59,11
1265577,-1.56,2.34,13.9,0.31,2010,0,0,1,38.5,3.83,120,4.93,-9,10.39,1.74,10.98,11
1265644,-1.56,1.56,14.01,0.32,2008,0,0,1,38.5,3.89,120,4.93,-9,10.75,1.76,10.98,11
1265710,-2.34,1.56,14.13,0.32,2020,0,0,1,38.5,3.91,120,5.08,-8.85,10.99,1.76,10.98,11
1265777,-2.34,1.56,14.24,0.32,2038,0,0,1,38.5,3.89,120,5.08,-8.85,10.94,1.78,10.98,11
1265844,-2.34,1.56,14.36,0.32,2032,0,0,1,38.5,3.88,120,5.08,-8.85,10.34,1.74,10.59,11
1265910,-2.34,2.34,14.47,0.31,2015,0,0,1,38.5,3.9,120,4.93,-9,9.79,1.72,10.59,11
1265977,-3.12,2.34,14.47,0.3,2029,0,0,1,38.5,3.92,120,4.79,-9.14,9.68,1.72,10.2,11
1266044,-3.12,2.34,14.36,0.29,2050,0,0,1,38.5,3.91,120,4.79,-9.14,9.67,1.72,10.2,11
1266111,-3.91,2.34,14.36,0.29,2054,0,0,1,38.5,3.92,120,4.64,-9.14,9.05,1.68,9.8,11
1266180,-4.69,2.34,14.36,0.27,2037,0,0,1,38,3.49,120,4.5,-9.43,8.75,1.66,9.8,11
1266247,-4.69,2.34,14.36,0.27,2023,0,0,1,38,3.45,120,4.5,-9.43,8.59,1.64,9.8,11
1266310,-5.47,2.34,14.24,0.26,2043,0,0,1,38,3.47,120,4.35,-9.58,8.59,1.64,9.8,11
1266379,-6.25,2.34,14.24,0.26,2042,0,0,1,38,3.5,120,4.35,-9.58,8.85,1.68,10.2,11
1266446,-6.25,2.34,14.36,0.27,2037,0,0,1,38,3.5,120,4.5,-9.58,9.32,1.7,10.2,11
1266514,-6.25,2.34,14.47,0.28,2039,0,0,1,38,3.45,120,4.5,-9.43,9.51,1.7,10.2,11
1266581,-5.47,2.34,14.7,0.28,2039,0,0,1,38,3.46,120,4.5,-9.43,9.47,1.7,10.2,11
1266652,-4.69,2.34,14.93,0.29,2026,0,0,1,38,3.48,120,4.64,-9.29,9.98,1.74,10.98,11
1266719,-3.91,2.34,15.16,0.3,2030,0,0,1,38,3.93,120,4.79,-9.14,10.51,1.76,10.98,12
1266783,-2.34,1.56,15.27,0.31,2058,0,0,1,38.5,3.93,120,4.79,-9.14,10.68,1.76,10.98,12
1266849,-1.56,1.56,15.27,0.31,2052,0,0,1,38.5,3.93,120,4.93,-9,10.69,1.76,10.98,12
1266915,-0.78,1.56,15.27,0.32,2027,0,0,1,38.5,3.91,120,4.93,-9,10.63,1.76,10.59,12
1266983,-0.78,1.56,15.04,0.32,2022,0,0,1,38.5,3.88,120,4.93,-9,10.45,1.74,10.98,12
1267047,0,1.56,14.81,0.31,2040,0,0,1,38.5,3.9,120,4.93,-9,10.44,1.76,10.98,12
1267117,-0.78,1.56,14.59,0.32,2048,0,0,1,38.5,3.97,120,4.93,-9,11.36,1.8,11.37,12
1267183,-0.78,1.56,14.36,0.33,2060,0,0,1,38.5,3.98,120,5.08,-8.85,11.56,1.8,11.37,12
1267251,-0.78,1.56,14.36,0.34,2063,0,0,1,38.5,4.37,120,5.22,-8.71,11.77,1.8,11.37,12
1267317,0,1.56,14.47,0.34,2054,0,0,1,38.5,4.35,120,5.22,-8.71,11.62,1.8,11.37,12
1267385,0,0.78,14.47,0.34,2054,0,0,1,39,4.42,120,5.22,-8.71,11.62,1.78,11.37,12
1267453,-0.78,0.78,14.47,0.34,2094,0,0,1,39,4.44,120,5.22,-8.71,11.49,1.8,11.37,12
1267518,-2.34,0.78,14.24,0.34,2096,0,0,1,39,4.43,120,5.22,-8.71,11.79,1.8,11.37,12
1267585,-3.12,-0.78,14.13,0.34,2076,0,0,1,39,4.01,120,5.22,-8.71,11.74,1.8,11.37,12
1267653,-3.12,-0.78,14.13,0.34,2093,0,0,1,39,3.99,120,5.22,-8.71,11.79,1.8,11.37,12
1267722,-3.91,-0.78,14.24,0.34,2096,0,0,1,39,4,120,5.08,-8.71,11.62,1.8,11.37,12
1267782,-3.91,-0.78,14.36,0.34,2084,0,0,1,39,4.04,120,5.08,-8.85,11.44,1.78,10.98,12
1267849,-3.91,-0.78,14.36,0.33,2128,0,0,1,39,4.06,120,5.08,-8.85,11.38,1.78,10.98,12
1267916,-4.69,-0.78,14.36,0.33,2132,0,0,1,39,4.09,120,5.08,-8.85,11.18,1.78,10.98,12
1267986,-4.69,-0.78,14.47,0.33,2110,0,0,1,38.5,4.07,120,5.08,-8.85,11.08,1.78,10.98,12
1268054,-4.69,-0.78,14.47,0.32,2099,0,0,1,38.5,4,120,4.93,-9,10.4,1.74,10.98,12
1268122,-4.69,-0.78,14.59,0.31,2104,0,0,1,38.5,4.06,120,4.93,-9,10.56,1.74,10.59,12
1268193,-4.69,-0.78,14.7,0.31,2106,0,0,1,38.5,4.08,120,4.79,-9.14,10.38,1.74,10.98,12
1268254,-3.91,-0.78,14.7,0.3,2142,0,0,1,38.5,4.09,120,4.79,-9.14,10.39,1.74,10.98,12
1268321,-3.91,-0.78,14.7,0.3,2125,0,0,1,38.5,4.09,120,4.79,-9.14,10.51,1.74,10.98,12
1268388,-3.12,-0.78,14.81,0.3,2103,0,0,1,38.5,4.03,120,4.79,-9.14,10.2,1.74,10.59,12
1268456,-2.34,-0.78,14.93,0.29,2104,0,0,1,38.5,4.02,120,4.64,-9.29,9.67,1.72,10.2,12
1268523,-1.56,-0.78,14.93,0.29,2097,0,0,1,38.5,3.6,120,4.64,-9.29,9.72,1.72,10.2,12
1268589,-0.78,-0.78,14.81,0.29,2128,0,0,1,38.5,3.61,120,4.64,-9.29,9.72,1.72,10.2,12
1268656,-1.56,-0.78,14.59,0.28,2140,0,0,1,38.5,3.63,120,4.5,-9.43,9.46,1.72,10.2,12
1268724,-0.78,-0.78,14.59,0.28,2118,0,0,1,38,3.63,120,4.5,-9.43,9.58,1.72,10.59,12
1268791,-0.78,-0.78,14.59,0.28,2102,0,0,1,38,3.55,120,4.5,-9.43,9.48,1.7,10.2,12
1268857,0,0,14.59,0.27,2093,0,0,1,38,3.58,120,4.5,-9.43,9.09,1.68,9.8,12
1268924,0,0,14.7,0.27,2092,0,0,1,38,3.6,120,4.35,-9.58,9.16,1.68,9.8,12
1268994,0,0,14.59,0.27,2121,0,0,1,38,3.6,120,4.35,-9.58,8.95,1.68,10.2,12
1269057,0,0,14.47,0.27,2108,0,0,1,38,3.62,120,4.35,-9.58,9.12,1.68,9.8,12
1269125,-0.78,0,14.24,0.26,2100,0,0,1,38,3.6,120,4.35,-9.58,8.81,1.66,10.2,12
1269192,-1.56,0,14.24,0.26,2090,0,0,1,38,3.54,120,4.35,-9.58,8.97,1.68,9.8,12
1269261,-1.56,0,14.24,0.27,2062,0,0,1,38,3.53,120,4.35,-9.58,9.12,1.7,10.2,12
1269326,-2.34,0,14.24,0.27,2059,0,0,1,38,3.54,120,4.35,-9.58,9.46,1.7,10.2,12
1269393,-2.34,2.34,14.36,0.28,2075,0,0,1,38,3.53,120,4.5,-9.43,9.47,1.7,10.2,12
1269463,-2.34,2.34,14.47,0.28,2092,0,0,1,38,3.58,120,4.5,-9.43,9.72,1.72,10.2,12
1269527,-2.34,2.34,14.7,0.28,2090,0,0,1,38,3.6,120,4.5,-9.43,9.63,1.7,10.2,12
1269594,-2.34,2.34,14.7,0.28,2112,0,0,1,38,3.58,120,4.5,-9.43,9.51,1.7,10.2,12
1269661,-2.34,2.34,14.59,0.28,2099,0,0,1,38,3.57,120,4.5,-9.43,9.29,1.68,9.8,12
1269728,-3.12,2.34,14.47,0.27,2054,0,0,1,38,3.52,120,4.35,-9.58,9.05,1.68,9.8,12
1269795,-3.91,2.34,14.36,0.27,2052,0,0,1,38,3.48,120,4.35,-9.58,8.76,1.66,9.8,12
1269865,-3.91,2.34,14.24,0.26,2066,0,0,1,38,3.51,120,4.35,-9.58,8.51,1.64,9.41,12
1269933,-4.69,2.34,14.13,0.25,2061,0,0,1,38,3.54,120,4.21,-9.72,8.25,1.64,9.41,12
1269995,-4.69,2.34,14.01,0.25,2063,0,0,1,38,3.52,120,4.06,-9.87,8.16,1.62,9.02,12
1270063,-5.47,2.34,14.01,0.23,2075,0,0,1,38,3.51,120,3.92,-9.87,7.29,1.54,8.63,12
1270132,-6.25,2.34,14.01,0.22,2043,0,0,1,38,3.06,120,3.77,-10.16,6.57,1.54,8.24,12
1270197,-6.25,2.34,14.01,0.2,2015,0,0,1,38,1.3,120,3.63,-10.3,5.46,1.46,7.84,12
